,Trends data
672,True
678,True
679,False
681,True
683,False
685,False
693,True
696,False
704,True
710,True
711,False
714,True
716,False
718,False
719,True
720,True
721,False
723,True
727,False
732,False
734,False
736,False
740,False
742,False
743,True
747,False
757,True
761,True
764,True
766,True
769,True
776,True
778,True
790,True
799,True
800,True
801,False
804,False
806,True
811,True
817,False
822,False
825,True
829,False
830,True
834,False
836,True
840,False
843,True
846,False
849,True
855,True
856,False
864,False
865,False
867,False
875,False
877,True
880,False
885,True
886,False
887,True
892,True
898,False
900,True
902,False
904,True
906,True
907,False
909,False
910,True
913,False
915,True
917,True
920,True
930,False
937,False
949,True
951,False
952,False
958,False
965,False
974,True
979,True
981,True
984,True
987,True
989,False
993,True
994,True
997,False
999,False
1000,True
1002,True
1008,False
1010,False
1011,True
1015,False
1018,True
1023,True
1027,True
1033,True
1043,True
1045,False
1052,False
1062,True
1064,True
1067,True
1070,True
1074,False
1077,True
1087,True
1088,True
1101,True
1106,True
1108,True
1109,False
1113,True
1115,False
1116,True
1117,True
1124,False
1127,True
1132,False
1136,False
1139,False
1140,True
1153,False
1162,False
1167,True
1172,False
1176,False
1177,False
1194,False
1199,True
1200,True
1206,True
1217,False
1220,False
1224,False
1227,True
1234,True
1237,True
1239,False
1240,True
1242,True
1250,False
1254,True
1258,False
1263,True
1264,True
1270,False
1271,False
1277,False
1278,False
1281,False
1283,True
1284,True
1289,False
1300,True
1302,False
1303,True
1306,False
1307,False
1308,False
1312,True
1314,True
1315,False
1316,True
1318,True
1322,False
1331,True
1332,True
1339,True
1340,True
1341,False
1342,True
1347,True
1352,False
1353,False
1354,False
1355,False
1357,True
1363,False
1373,True
1374,True
1379,False
1380,True
1384,False
1390,False
1393,True
1396,True
1402,False
1409,True
1412,False
1422,True
1423,False
1426,False
1429,True
1430,False
1432,False
1435,True
1437,True
1441,False
1442,False
1443,True
1448,False
1450,False
1460,True
1464,False
1469,True
1477,False
1478,False
1481,False
1485,False
1486,True
1487,True
1494,True
1496,False
1501,True
1502,True
1508,False
1516,True
1533,True
1541,True
1544,False
1549,True
1551,True
1552,True
1553,True
1554,True
1563,True
1565,True
1569,False
1577,False
1578,False
1595,True
1596,True
1609,False
1612,False
1615,True
1629,True
1639,False
1642,True
1645,True
1646,False
1649,False
1650,True
1654,False
1660,True
1662,True
1663,False
1672,True
1674,False
1690,True
1701,True
1704,True
1710,True
1712,True
1713,False
1718,False
1722,False
1731,True
1744,True
1745,False
1752,True
1758,False
1761,True
1765,True
1769,True
1777,False
1783,True
1793,True
1802,True
1809,False
1812,True
1813,False
1824,False
1826,False
1827,True
1832,False
1847,False
1849,False
1852,False
1861,False
1862,False
1863,False
1880,False
1885,False
1892,True
1899,False
1907,True
1918,True
1919,True
1927,False
1935,False
1936,False
1938,True
1941,True
1942,False
1944,True
1950,True
1952,True
1955,True
1962,True
1963,True
1964,True
1965,False
1966,False
1976,True
1981,False
1984,True
1985,True
1987,False
1989,True
1992,True
1994,True
1998,True
2006,False
2012,False
2026,False
2035,True
2046,False
2050,False
2051,False
2057,True
2061,False
2063,False
2073,True
2076,False
2078,True
2083,True
2087,True
2090,False
2096,False
2102,True
2105,True
2114,False
2121,False
2124,False
2126,True
2137,False
