Character_name;Freebase_character_ID;Actor_gender;Wikipedia_movie_ID;Coref_count;Main_actor;Adjectives;Verbs;Attributes
girlfriend;;F;4996220;27;0;[];['break', 'vow', 'return', 'go', 'spend', 'give', 'close', 'leave', 'leave', 'love', 'go', 'demonstrate', 'have', 'reunite'];['customer', 'time']
Tilo;/m/0h5v500;F;4996220;10;1;[];['end', 'tend', 'touch', 'recognize'];['immigrant', 'shopkeeper', 'american']
Doug;/m/0h5hc69;M;4996220;6;2;[];['come', 'come', 'agree'];[]
teenager;;F;4996220;4;3;[];['try'];['injury']
Jagjit;/m/0h5v4_h;M;4996220;2;4;[];['fall'];[]
shopkeeper;;F;4996220;2;5;[];['give'];['clairvoyant']
Geeta;/m/0gyxls5;F;4996220;1;6;[];[];['granddaughter']
Rex;/m/0h03fn_;M;5002289;23;0;['intelligent', 'violent', 'savage', 'wild'];['play', 'name', 'explain', 'come', 'hear', 'start', 'tell', 'succeed', 'become', 'realize', 'devolve', 'return'];['orange', 'dinosaur', 'what', 'creature', 'feeling']
Screweyes;;M;5002289;20;1;[];['run', 'explain', 'delight', 'reveal', 'demonstrate', 'make', 'destroy', 'claim', 'control', 'succeed', 'hypnotize'];['brother']
Cecilia;/m/0h2_w5g;F;5002289;19;2;[];['cry', 'explain'];['dinosaur']
Louie;;M;5002289;18;3;[];['realize', 'come', 'convince', 'decide', 'meet', 'reconcile'];[]
Neweyes;;M;5002289;5;4;[];['reveal', 'drop', 'arrive', 'board'];['inventor']
Buster;;M;5002289;4;5;[];['sible', 'leave', 'meet'];[]
inventor;;M;5002289;3;6;[];['inform', 'instruct'];[]
Elsa;;F;5002289;2;7;[];['tell'];[]
Drake;;M;5003734;4;0;['criminal'];['escape', 'set'];['life']
Thomas Grace;/m/0h0xjcs;M;5003734;3;1;[];['work'];['novelist']
Allen;;F;5003734;1;2;[];['predict'];['waitress']
friend;;M;5007560;7;0;['good'];['leave', 'reel', 'obsess'];['abuse', 'friend']
Amanda;/m/0gz6vj1;F;5007560;1;1;[];['try'];['model', 'friend']
Jamie Conway;/m/0gxt_8d;M;5007560;1;2;[];['work', 'spend'];[]
Pennsylvania;;M;5007560;1;3;[];[];[]
boss;;M;5007560;1;4;[];[];['friend']
checker;;M;5007560;1;5;[];[];['fact']
Wanda Holloway;/m/0h260qk;F;5009511;36;0;[];['have', 'enroll', 'decide', 'meet', 'serve', 'hope'];['father']
Shanna;;F;5009511;18;1;[];['become', 'make', 'practice', 'decide', 'reside', 'take'];['teenager', 'cheerleader']
Terry;;M;5009511;5;2;[];['disagree', 'decide', 'meet', 'send'];['brother']
cheerleader;;F;5009511;2;3;['successful'];['allow'];['varsity']
Doyle Standish;/m/0jy_sbc;M;5010137;48;0;['further'];['offer', 'welcome', 'call', 'spend', 'hate', 'refuse', 'feign', 'grow', 'realise', 'neglect', 'share', 'know', 'lie', 'decide', 'turn', 'shoot'];[]
Reed Standish;/m/0jy_sbm;M;5010137;27;1;[];['have', 'threaten', 'hurt', 'wait', 'know', 'own', 'demand', 'agree'];[]
Natalie Standish;/m/0jy_sb3;F;5010137;17;2;[];['give', 'call'];[]
Dutch Dooley;/m/0h28msl;M;5010137;9;3;[];['attend', 'meet', 'overhear', 'see', 'find', 'promise', 'hogtie', 'give', 'throw', 'give', 'follow', 'tell', 'contain', 'pull'];['doyle standish']
elitist;;M;5010137;2;4;[];[];[]
head;;M;5010137;1;5;['doyle standish'];[];[]
party;;M;5010137;1;6;['ritzy'];['stand'];[]
Patrick Sullivan;/m/066np04;M;5012787;15;0;[];['toss', 'discover', 'propose', 'have', 'find'];['convince']
Josh Framm;/m/066np14;M;5012787;4;1;[];['run', 'stop'];[]
Popov;;M;5012787;4;2;[];[];['thank']
Pelham;;M;5016035;10;0;['rich'];['decide', 'seek', 'find', 'realize', 'meet'];['businessman', 'peace']
Harold;;M;5016035;9;1;[];['help', 'decide', 'manage', 'realize', 'think'];[]
Silk Spectre II;/m/05kg2jm;F;5016250;20;0;['original'];['take', 'reveal', 'tell', 'print'];['silk', 'silk', 'silk', 'silk', 'silk']
humanity;;M;5016250;13;1;[];['drop', 'stage', 'explain'];['mastermind', 'exile', 'reactor']
Blake;;M;5016250;10;2;[];['attempt'];['agent', 'Comedian']
Doctor Manhattan;/m/035lml;M;5016250;10;3;['reluctant'];['exile', 'return', 'create', 'share'];[]
Dreiberg;;F;5016250;6;4;[];['ask'];[]
Nite Owl II;/m/05kg2l6;M;5016250;4;5;[];[];['silk spectre ii']
Rorschach;/m/0229pt;M;5016250;4;6;[];['discover', 'find', 'frame', 'discover'];[]
City;;F;5016250;2;7;[];['rebuild'];['work']
Richard Nixon;/m/02nw8ld;M;5016250;2;8;[];['state'];[]
Comedian;/m/035lnp;M;5016250;1;9;[];[];['father']
Ozymandias;/m/035lqv;M;5016250;1;10;[];['dismiss', 'confirm', 'subdue'];['billionaire']
mother;;F;5016250;1;11;[];['learn'];['silk spectre ii']
Frank Harmon;/m/0h34tbn;M;5016294;65;0;['old'];['meet', 'get', 'stop', 'go', 'say', 'carry', 'make', 'go', 'tell', 'make', 'spend', 'have', 'buy', 'look', 'play', 'drive', 'say', 'bring', 'admit', 'say', 'tell', 'take', 'buy', 'admit', 'have', 'run', 'feel', 'feel', 'feel', 'watch', 'start', 'say', 'cope', 'keep', 'start', 'seek', 'say'];['Breezy']
Breezy;;M;5016294;49;1;[];['jump', 'say', 'tell', 'see', 'seem', 'say', 'get', 'leave', 'say', 'show', 'take', 'start', 'carry', 'ask', 'spend', 'wait', 'wait', 'say', 'come', 'admit', 'love', 'die', 'make', 'say', 'afford', 'remind'];[]
wife;;F;5016294;23;2;['glad'];['live', 'ask', 'come', 'try', 'leave', 'admit', 'love', 'like', 'say', 'think', 'excite', 'make'];[]
Betty;;F;5016294;15;3;[];['say', 'tell', 'get', 'say', 'say', 'ask', 'ask'];['fiancee']
stranger;;F;5016294;7;4;[];['catch', 'escape'];[]
Bob;;F;5016294;6;5;[];['tell', 'leave', 'wait', 'make'];[]
dog;;F;5016294;6;6;['stray'];['lay', 'run'];[]
he;;M;5016294;1;7;[];[];[]
Antoinette Lily;/m/0h2895f;F;5016298;20;0;[];[];[]
Bronco Billy;/m/0gww9qv;M;5016298;15;1;[];[];['depart']
assistant;;F;5016298;1;2;['female', 'new'];[];[]
baby;;M;5016298;1;3;[];[];[]
sheriff;;F;5016298;1;4;[];[];[]
Red Stovall;/m/0gww9sl;M;5016299;4;0;[];['succumb'];['singer']
nephew;;M;5016299;3;1;['young'];['vow'];['nephew']
Opry;;M;5016299;1;2;[];[];[]
Whit;;M;5016299;1;3;[];[];['nephew']
Hall;;M;5016546;5;0;[];['want', 'get', 'do', 'catch'];['man']
Frank Lucas;/m/05kfx46;M;5017604;74;0;['destabilizing'];['dislike', 'take', 'decide', 'track', 'smuggle', 'create', 'make', 'move', 'purchase', 'meet', 'rise', 'make', 'disregard', 'realize', 'make', 'contend', 'threaten', 'set', 'give', 'decide', 'provide', 'have', 'step', 'pull'];['control', 'middle', 'middle', 'wife', 'retaliation', 'wife', 'nephew', 'attorney']
Richie Roberts;/m/02_xbs2;M;5017604;33;1;[];['juggle', 'resist', 'die', 'handpick', 'become', 'catch', 'wear', 'have', 'search', 'continue', 'meet', 'have', 'tell', 'have', 'help', 'prosecute'];['detective', 'catch', 'break', 'man']
Bumpy Johnson;/m/05kfw7q;M;5017604;4;2;[];['die'];['gangster']
Detective Trupo;/m/0ghvz6s;M;5017604;4;3;[];['attempt', 'interrupt', 'break', 'commit'];[]
Lou Toback;/m/0ghvz84;M;5017604;1;4;[];['put'];['richie robert', 'middle']
person;;M;5017604;1;5;['wealthy'];['associate', 'have', 'begin'];[]
ref;;M;5017604;1;6;[];['prize', 'bomb'];[]
Judy;;F;5018435;9;0;[];['breathtaken', 'realize'];[]
Bozo;;M;5018435;7;1;[];['die', 'seem'];[]
Louis Creed;/m/0h5w2q9;M;5018573;38;0;[];['promise', 'find', 'ask', 'consider', 'go', 'try', 'answer', 'take', 'exhaust', 'find', 'go', 'search', 'inject', 'soak', 'wait', 'play'];['wake', 'head', 'return', 'wake', 'head']
Rachel Creed;/m/0h5w2rk;F;5018573;16;1;[];['ask', 'return', 'hang', 'arrive', 'enter', 'come', 'reach'];['ellie creed', 'daughter', 'hug', 'son']
Gage Creed;/m/0h5w2qj;M;5018573;15;2;[];['arrive', 'enter', 'tell', 'receive', 'distract'];['attack']
Ellie Creed;/m/0h5w2q2;F;5018573;6;3;[];['treat', 'have', 'have'];['louis creed', 'daughter', 'rachel creed']
Jud Crandall;/m/0h5w2qr;M;5018573;6;4;[];['take', 'try', 'try', 'warn'];[]
Paxcow;;M;5018573;4;5;[];['warn', 'try', 'see'];[]
Victor Pascow;/m/0h5w2rb;M;5018573;4;6;[];['hit', 'die', 'warn', 'watch', 'work', 'scream'];[]
Timmy;;M;5018573;3;7;[];[];['friend']
person;;M;5018573;1;8;[];[];[]
wife;;F;5018573;1;9;[];['die'];['louis creed']
Amelia;;F;5019011;19;0;['horrified'];['become', 'get', 'see', 'refuse', 'believe', 'go', 'go', 'lose', 'give'];[]
Phil;;M;5019011;18;1;['thoughtful'];['manage', 'drive', 'depart', 'send', 'rush', 'confess', 'send', 'write'];['who']
Griggs;;F;5019011;11;2;['little'];['beg', 'decide', 'have', 'bring', 'try', 'steal'];['professor', 'payday']
Lucas;;M;5019011;7;3;['old'];['graduate', 'drop'];['wealth']
Olsen;;M;5019011;5;4;[];['bear', 'do', 'threaten', 'do'];['shoemaker']
Claredon;;F;5019011;4;5;[];['set', 'follow', 'realize'];[]
Peter;;M;5019011;3;6;[];['insist', 'leave', 'see'];[]
daughter;;F;5019011;3;7;[];['work'];['professor']
Sr;;M;5019011;1;8;[];['come', 'alter'];[]
wife;;F;5019011;1;9;[];['dislike', 'consider'];[]
Jerry;;M;5021403;6;0;[];['see', 'drink', 'decide'];[]
Phyllis;;F;5023581;5;0;[];['live', 'become', 'deny'];['day']
Martha;;F;5023581;4;1;[];['try'];['aunt']
Barry;;M;5023581;2;2;[];['begin'];[]
London;;F;5023581;1;3;[];[];['Phyllis']
Pierce;;M;5023581;1;4;[];['believe'];[]
detective;;M;5023581;1;5;['suspicious'];['visit'];[]
Dan;/m/02nwn5c;M;5024840;26;0;[];['realize', 'have', 'hold', 'go', 'leave', 'reveal', 'decide', 'go', 'realize', 'blame'];[]
Tom;/m/0h5h_r4;M;5024840;16;1;[];['meet', 'blame', 'blame', 'devise', 'vow', 'agree', 'return', 'ask', 'resign'];[]
hostage;;M;5024840;3;2;[];['draw'];[]
wife;;F;5024840;1;3;[];['drive'];[]
Simon;;M;5026362;10;0;[];['attempt', 'work', 'begin', 'become', 'find', 'dismiss'];['reality']
J.;;M;5026362;7;1;[];['begin', 'go'];['programmer']
Josh Framm;/m/066np14;M;5026441;8;0;[];['make', 'meet'];['friend']
Emma Putter;/m/066np2r;F;5026441;3;1;[];['have'];[]
Tom Stewart;/m/066np2_;M;5026441;3;2;[];[];[]
mother;;F;5026441;1;3;[];['have'];[]
Andrea Framm;/m/066np0g;F;5026667;2;0;[];['decide'];['rest']
Josh Framm;/m/066np14;M;5026667;2;1;[];[];[]
helper;;M;5026667;2;2;['little'];['go'];['kidnapper']
Buddy;/m/066npvl;M;5026744;1;0;[];['find', 'have'];[]
Disney;;M;5026744;1;1;[];['stop'];['parrot']
Hercule Poirot;/m/0h2vzlk;M;5028212;2;0;[];['travel', 'meet', 'work'];[]
Willie;;M;5028541;5;0;[];['become', 'start', 'fall'];[]
Harold Benson;/m/0h5lq22;M;5028541;4;1;[];['follow', 'have'];[]
Paul;;M;5033320;65;0;['priestess'];['take', 'go', 'try', 'jerk', 'try', 'end', 'discover', 'end', 'run', 'realize', 'save', 'slip', 'find', 'find', 'flee', 'escape', 'manage', 'end', 'have', 'seem', 'escape', 'return', 'pour', 'develop', 'follow', 'see'];['lover']
Barbara;;F;5033320;22;1;['human'];['find', 'stay', 'miss', 'walk', 'turn'];[]
priestess;;F;5033320;5;2;[];['explain'];[]
Howard;;M;5033320;3;3;[];['stay'];[]
Vicki;;F;5033320;3;4;[];['kill'];['friend']
Cambarro;;F;5033320;2;5;[];['save'];[]
Marsh;;M;5033320;1;6;[];[];['tycoon']
Barney;;M;5033651;25;0;[];['go', 'change', 'try', 'fly', 'think', 'accept', 'think', 'begin', 'turn'];['kid', 'other', 'chase', 'egg', 'circus']
Cody;;M;5033651;8;1;[];['lose', 'hide', 'tell', 'think', 'refuse', 'wish', 'find', 'knock', 'apologize'];[]
Marcella;/m/0h2vc8t;F;5033651;7;2;[];[];[]
Morgan;;M;5033651;5;3;[];[];['friend', 'brother']
B.J.;;F;5033651;4;4;[];['arrive'];[]
Horne;;M;5034138;9;0;[];['meet', 'spend', 'find', 'dangle', 'climb'];['salesman']
salesman;;F;5034138;1;1;['ambitious'];[];['shoe']
Rachel Wilcox;/m/04hykk6;F;5034380;36;0;['tearful'];['break', 'try', 'perform', 'explain', 'go', 'threaten', 'say', 'turn', 'try', 'lie', 'lie', 'see', 'tell', 'have', 'demand', 'admit', 'lie', 'want', 'enjoy', 'make'];['woman', '12']
Arnold;/m/0cpb2_q;M;5034380;28;1;[];['have', 'arrive', 'refuse', 'take', 'stay', 'seem', 'keep', 'tell', 'give', 'buy', 'admit', 'claim', 'drive'];['stepfather']
Lilly Wilcox;/m/0b3v2wj;F;5034380;24;2;['enraged'];['haul', 'swear', 'make', 'date', 'come', 'accept', 'do', 'jump'];['daughter', '14']
Dr. Simon Ward;/m/0cpb30_;M;5034380;9;3;[];['show', 'mourn', 'refuse', 'date', 'tell'];['nephew']
Georgia Randall;/m/0b3v2ws;F;5034380;9;4;['young'];['live', 'arrange', 'tell', 'tell', 'attempt', 'force'];['fuck']
Harlan;/m/0cpb30g;M;5034380;9;5;[];['mention', 'return'];[]
Wilson;;M;5034380;4;6;[];['marry', 'confess', 'have'];[]
girlfriend;;F;5034380;4;7;[];['shock', 'find'];['name']
Rachael;;F;5034380;2;8;[];[];[]
Sam;/m/0cpb2_2;M;5034380;1;9;[];['think'];[]
Jack;;M;5035407;8;0;[];['befriend', 'have', 'join', 'shoot'];['chimpanzee']
Kendall;;M;5035407;5;1;[];['lose', 'die', 'set'];[]
Peabody;;M;5035407;2;2;[];['sell', 'return', 'shoot'];['shot']
Steven Westover;/m/0h29_nv;M;5035407;1;3;[];['discover'];[]
game;;F;5035585;25;0;[];['get', 'look', 'find', 'walk', 'begin', 'follow', 'open', 'find', 'pick', 'find', 'caress', 'take', 'run'];['chess', 'hill']
end;;F;5035585;7;1;['opposite'];['reach', 'find', 'drag', 'look'];[]
man;;M;5035585;3;2;[];['stand', 'replace', 'lie'];[]
cat;;F;5035585;2;3;[];['leap', 'turn'];[]
woman;;F;5035585;2;4;[];['lie', 'climb', 'chase', 'get', 'run'];[]
Clay;;M;5036653;23;0;[];['know', 'go', 'tell', 'want', 'raise', 'walk', 'understand', 'call', 'take', 'name', 'feel', 'come', 'hide', 'get'];['baby']
Alden;;M;5036653;16;1;[];['grow', 'say', 'go', 'miss', 'reason', 'go', 'have', 'adopt', 'learn', 'think', 'become'];[]
Elena;;F;5036653;5;2;[];['want'];[]
Shaw;;M;5036653;5;3;[];['get', 'find', 'escape'];[]
Vince;;M;5036653;5;4;[];['tell', 'catch', 'get', 'play'];[]
Sonny;;M;5036653;4;5;[];['point', 'keep', 'drop'];[]
boy;;M;5036653;2;6;['little'];['play'];[]
dog;;M;5036653;1;7;[];['run', 'play'];['boy', 'appoint', 'owner']
dog;;M;5036880;2;0;[];['win'];[]
Hooper;;M;5038050;11;0;[];['find', 'wind', 'go', 'find', 'find', 'try'];['clown']
sister;;F;5038050;1;1;[];[];[]
Karchy 'Chucky' Jonas;/m/0h2b99l;M;5040274;4;0;['old'];['meet'];['student', 'way']
Jamie Bartlett;/m/0h333j2;F;5041941;58;0;[];['own', 'write', 'write', 'use', 'have', 'use', 'appear', 'become', 'wish', 'log', 'ask', 'realize', 'think', 'apologize', 'say', 'overhear', 'feel', 'get', 'go', 'try', 'find', 'ask', 'invite'];[]
Lindsay;;F;5041941;11;1;[];['offer', 'send', 'turn', 'reveal'];[]
Connor Kennedy;/m/0h2n6qq;M;5041941;9;2;[];['hate', 'respond', 'write', 'become', 'leave'];[]
Lenny;;M;5041941;5;3;[];['refuse', 'perform', 'rush'];[]
Max;;M;5042018;3;0;[];['find'];['land']
playboy;;M;5045155;7;0;[];['find', 'give', 'hear', 'go', 'have', 'fall'];['millionaire']
Harold;;M;5045155;3;1;[];['run', 'win'];[]
Manners;;M;5045155;1;2;[];[];['playboy']
sheriff;;M;5045608;4;0;[];['have'];['son']
